turtle,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,0_9,1_0,1_1,1_2,1_3,1_4,1_5,1_6,1_7,1_8,1_9,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9,3_0,3_1,3_2,3_3,3_4,3_5,3_6,3_7,3_8,3_9,4_0,4_1,4_2,4_3,4_4,4_5,4_6,4_7,4_8,4_9
11,-1.4015898772507562,-1.3770970278471877,-1.3526041784436191,-1.3281113290400506,-1.303618479636482,-1.2791256302329135,-1.254632780829345,-1.2301399314257764,-1.2056470820222078,-1.1811542326186393,-1.1566613832150707,-1.141344807527086,-1.1260282318391013,-1.1107116561511166,-1.0953950804631318,-1.080078504775147,-1.0647619290871624,-1.0494453533991777,-1.034128777711193,-1.0188122020232082,-1.0034956263352235,-1.0188122020232082,-1.034128777711193,-1.0494453533991777,-1.0647619290871624,-1.080078504775147,-1.0953950804631318,-1.1107116561511166,-1.1260282318391013,-1.141344807527086,-1.1566613832150707,-1.1811542326186393,-1.2056470820222078,-1.2301399314257764,-1.254632780829345,-1.2791256302329135,-1.303618479636482,-1.3281113290400506,-1.3526041784436191,-1.3770970278471877,-1.4015898772507562,-1.4015904684609974,-1.4015910596712386,-1.4015916508814799,-1.401592242091721,-1.401592833301962,-1.4015934245122033,-1.4015940157224445,-1.4015946069326857,-1.4015951981429269
12,-1.2267287939568767,-1.2012192198242306,-1.1757096456915843,-1.1502000715589382,-1.1246904974262921,-1.099180923293646,-1.0736713491609997,-1.0481617750283536,-1.0226522008957075,-0.9971426267630612,-0.9716330526304151,-0.9608268892435228,-0.9500207258566306,-0.9392145624697383,-0.928408399082846,-0.9176022356959537,-0.9067960723090615,-0.8959899089221692,-0.8851837455352769,-0.8743775821483846,-0.8635714187614923,-0.8743775821483846,-0.8851837455352769,-0.8959899089221692,-0.9067960723090615,-0.9176022356959537,-0.928408399082846,-0.9392145624697383,-0.9500207258566306,-0.9608268892435228,-0.9716330526304151,-0.9971426267630613,-1.0226522008957075,-1.0481617750283536,-1.0736713491609997,-1.099180923293646,-1.1246904974262921,-1.1502000715589382,-1.1757096456915845,-1.2012192198242306,-1.2267287939568767,-1.2269151727760648,-1.2271015515952528,-1.2272879304144406,-1.2274743092336287,-1.2276606880528167,-1.2278470668720047,-1.2280334456911928,-1.2282198245103806,-1.2284062033295686
13,-1.0489620469804861,-1.0233133926909652,-0.9976647384014444,-0.9720160841119236,-0.9463674298224027,-0.9207187755328818,-0.895070121243361,-0.8694214669538403,-0.8437728126643194,-0.8181241583747985,-0.7924755040852777,-0.7871210045393551,-0.7817665049934324,-0.7764120054475097,-0.7710575059015871,-0.7657030063556645,-0.7603485068097418,-0.754994007263819,-0.7496395077178964,-0.7442850081719738,-0.7389305086260511,-0.7442850081719738,-0.7496395077178964,-0.754994007263819,-0.7603485068097418,-0.7657030063556645,-0.7710575059015871,-0.7764120054475097,-0.7817665049934324,-0.7871210045393551,-0.7924755040852777,-0.8181241583747985,-0.8437728126643194,-0.8694214669538403,-0.895070121243361,-0.9207187755328818,-0.9463674298224027,-0.9720160841119236,-0.9976647384014444,-1.0233133926909652,-1.0489620469804861,-1.0491965390578648,-1.0494310311352435,-1.049665523212622,-1.0499000152900007,-1.0501345073673793,-1.050368999444758,-1.0506034915221367,-1.0508379835995152,-1.0510724756768939
14,-0.8760659195022515,-0.8505984086701204,-0.8251308978379891,-0.7996633870058579,-0.7741958761737266,-0.7487283653415955,-0.7232608545094643,-0.697793343677333,-0.6723258328452019,-0.6468583220130706,-0.6213908111809394,-0.6200786260309554,-0.6187664408809714,-0.6174542557309874,-0.6161420705810035,-0.6148298854310195,-0.6135177002810355,-0.6122055151310515,-0.6108933299810675,-0.6095811448310835,-0.6082689596810995,-0.6095811448310835,-0.6108933299810675,-0.6122055151310515,-0.6135177002810355,-0.6148298854310195,-0.6161420705810035,-0.6174542557309874,-0.6187664408809714,-0.6200786260309554,-0.6213908111809394,-0.6468583220130706,-0.6723258328452019,-0.697793343677333,-0.7232608545094643,-0.7487283653415955,-0.7741958761737266,-0.7996633870058579,-0.8251308978379891,-0.8505984086701204,-0.8760659195022515,-0.8763131910062877,-0.8765604625103238,-0.87680773401436,-0.8770550055183961,-0.8773022770224322,-0.8775495485264684,-0.8777968200305045,-0.8780440915345407,-0.8782913630385768
15,-0.7020740066501241,-0.6777800758228951,-0.653486144995666,-0.6291922141684371,-0.6048982833412081,-0.580604352513979,-0.55631042168675,-0.5320164908595211,-0.5077225600322921,-0.483428629205063,-0.45913469837783405,-0.45739361999689154,-0.4556525416159491,-0.4539114632350066,-0.45217038485406413,-0.4504293064731216,-0.4486882280921791,-0.44694714971123667,-0.44520607133029416,-0.4434649929493517,-0.4417239145684092,-0.4434649929493517,-0.44520607133029416,-0.44694714971123667,-0.4486882280921791,-0.4504293064731216,-0.45217038485406413,-0.4539114632350066,-0.4556525416159491,-0.45739361999689154,-0.45913469837783405,-0.4834286292050631,-0.5077225600322921,-0.5320164908595211,-0.55631042168675,-0.580604352513979,-0.6048982833412081,-0.6291922141684371,-0.6534861449956662,-0.6777800758228951,-0.7020740066501241,-0.7018655928906852,-0.7016571791312463,-0.7014487653718072,-0.7012403516123683,-0.7010319378529294,-0.7008235240934905,-0.7006151103340515,-0.7004066965746125,-0.7001982828151736
16,-0.5280645001821008,-0.5036390451051256,-0.4792135900281503,-0.45478813495117504,-0.4303626798741998,-0.4059372247972245,-0.38151176972024925,-0.357086314643274,-0.33266085956629876,-0.30823540448932346,-0.2838099494123482,-0.283551700650666,-0.2832934518889838,-0.28303520312730157,-0.2827769543656194,-0.28251870560393716,-0.2822604568422549,-0.28200220808057275,-0.2817439593188905,-0.28148571055720834,-0.2812274617955261,-0.28148571055720834,-0.2817439593188905,-0.28200220808057275,-0.2822604568422549,-0.28251870560393716,-0.2827769543656194,-0.28303520312730157,-0.2832934518889838,-0.283551700650666,-0.2838099494123482,-0.30823540448932346,-0.33266085956629876,-0.357086314643274,-0.38151176972024925,-0.4059372247972245,-0.43036267987419974,-0.45478813495117504,-0.47921359002815034,-0.5036390451051256,-0.5280645001821008,-0.528659139025645,-0.5292537778691891,-0.5298484167127333,-0.5304430555562775,-0.5310376943998216,-0.5316323332433657,-0.5322269720869098,-0.532821610930454,-0.5334162497739982
17,-0.3551185683230685,-0.33166788377690654,-0.30821719923074453,-0.2847665146845826,-0.26131583013842064,-0.23786514559225866,-0.2144144610460967,-0.19096377649993473,-0.16751309195377276,-0.14406240740761078,-0.12061172286144883,-0.12128563720009591,-0.121959551538743,-0.12263346587739006,-0.12330738021603714,-0.12398129455468422,-0.1246552088933313,-0.12532912323197837,-0.12600303757062545,-0.12667695190927253,-0.1273508662479196,-0.12667695190927253,-0.12600303757062545,-0.12532912323197837,-0.1246552088933313,-0.12398129455468422,-0.12330738021603714,-0.12263346587739006,-0.121959551538743,-0.12128563720009591,-0.12061172286144883,-0.1440624074076108,-0.16751309195377276,-0.19096377649993473,-0.21441446104609668,-0.23786514559225866,-0.26131583013842064,-0.2847665146845826,-0.30821719923074453,-0.33166788377690654,-0.3551185683230685,-0.35510212838001626,-0.3550856884369641,-0.35506924849391186,-0.3550528085508597,-0.35503636860780746,-0.35501992866475524,-0.35500348872170306,-0.35498704877865084,-0.35497060883559867
18,-0.18130687461285414,-0.1581284786050669,-0.13495008259727967,-0.11177168658949245,-0.0885932905817052,-0.06541489457391798,-0.042236498566130765,-0.01905810255834353,0.004120293449443729,0.027298689457230935,0.05047708546501817,0.046743002157725026,0.04300891885043188,0.039274835543138736,0.03554075223584559,0.031806668928552446,0.0280725856212593,0.02433850231396616,0.02060441900667301,0.016870335699379867,0.013136252392086725,0.01687033569937987,0.020604419006673015,0.024338502313966157,0.028072585621259305,0.031806668928552446,0.03554075223584559,0.039274835543138736,0.043008918850431885,0.046743002157725026,0.05047708546501817,0.027298689457230935,0.004120293449443702,-0.019058102558343518,-0.042236498566130765,-0.06541489457391798,-0.0885932905817052,-0.11177168658949244,-0.1349500825972797,-0.1581284786050669,-0.18130687461285414,-0.18114127513102768,-0.1809756756492012,-0.18081007616737474,-0.18064447668554826,-0.1804788772037218,-0.18031327772189534,-0.18014767824006886,-0.1799820787582424,-0.17981647927641592
19,-0.004159976003150398,0.01659152742978203,0.03734303086271446,0.05809453429564688,0.07884603772857933,0.09959754116151175,0.12034904459444416,0.14110054802737657,0.16185205146030904,0.18260355489324145,0.20335505832617387,0.19703556387342597,0.19071606942067806,0.18439657496793013,0.17807708051518223,0.17175758606243433,0.16543809160968642,0.15911859715693852,0.1527991027041906,0.14647960825144268,0.14016011379869478,0.14647960825144268,0.1527991027041906,0.15911859715693852,0.16543809160968642,0.17175758606243433,0.17807708051518223,0.18439657496793013,0.19071606942067806,0.19703556387342597,0.20335505832617387,0.18260355489324143,0.161852051460309,0.1411005480273766,0.12034904459444415,0.09959754116151173,0.07884603772857932,0.0580945342956469,0.03734303086271443,0.01659152742978201,-0.004159976003150398,-0.004331971626393547,-0.004503967249636697,-0.004675962872879847,-0.004847958496122996,-0.0050199541193661455,-0.005191949742609296,-0.005363945365852446,-0.005535940989095595,-0.005707936612338744
20,0.1692064495441404,0.19052258034741357,0.21183871115068675,0.2331548419539599,0.25447097275723307,0.27578710356050623,0.2971032343637794,0.3184193651670526,0.33973549597032576,0.3610516267735989,0.3823677575768721,0.37342925481461864,0.36449075205236525,0.3555522492901118,0.34661374652785837,0.337675243765605,0.32873674100335154,0.3197982382410981,0.31085973547884466,0.30192123271659127,0.29298272995433783,0.30192123271659127,0.31085973547884466,0.3197982382410981,0.32873674100335154,0.337675243765605,0.34661374652785837,0.3555522492901118,0.36449075205236525,0.37342925481461864,0.3823677575768721,0.3610516267735989,0.33973549597032576,0.3184193651670526,0.2971032343637794,0.27578710356050623,0.25447097275723307,0.2331548419539599,0.21183871115068673,0.19052258034741357,0.1692064495441404,0.16980475393822042,0.17040305833230046,0.1710013627263805,0.17159966712046051,0.17219797151454053,0.17279627590862057,0.1733945803027006,0.17399288469678062,0.17459118909086063
21,0.34406753283801983,0.365948405677867,0.3878292785177142,0.4097101513575614,0.4315910241974086,0.45347189703725577,0.47535276987710295,0.49723364271695014,0.5191145155567973,0.5409953883966445,0.5628762612364917,0.5519632641118913,0.5410502669872909,0.5301372698626905,0.51922427273809,0.5083112756134897,0.49739827848888923,0.4864852813642888,0.4755722842396884,0.46465928711508797,0.45374628999048755,0.46465928711508797,0.4755722842396884,0.4864852813642888,0.49739827848888923,0.5083112756134897,0.51922427273809,0.5301372698626905,0.5410502669872909,0.5519632641118913,0.5628762612364917,0.5409953883966445,0.5191145155567973,0.49723364271695014,0.47535276987710295,0.45347189703725577,0.4315910241974086,0.4097101513575614,0.3878292785177142,0.365948405677867,0.34406753283801983,0.3446905361902846,0.3453135395425494,0.3459365428948142,0.34655954624707896,0.34718254959934375,0.34780555295160853,0.3484285563038733,0.3490515596561381,0.3496745630084029
22,0.5187023094463747,0.5382417514180301,0.5577811933896853,0.5773206353613407,0.5968600773329961,0.6163995193046514,0.6359389612763067,0.655478403247962,0.6750178452196174,0.6945572871912726,0.714096729162928,0.7049082774656684,0.6957198257684089,0.6865313740711492,0.6773429223738896,0.66815447067663,0.6589660189793705,0.6497775672821109,0.6405891155848512,0.6314006638875916,0.6222122121903321,0.6314006638875916,0.6405891155848512,0.6497775672821109,0.6589660189793705,0.66815447067663,0.6773429223738896,0.6865313740711492,0.6957198257684089,0.7049082774656684,0.714096729162928,0.6945572871912726,0.6750178452196174,0.655478403247962,0.6359389612763067,0.6163995193046514,0.5968600773329961,0.5773206353613407,0.5577811933896853,0.5382417514180301,0.5187023094463747,0.5190462238388183,0.5193901382312618,0.5197340526237053,0.5200779670161488,0.5204218814085924,0.5207657958010359,0.5211097101934794,0.5214536245859229,0.5217975389783664
23,0.694730407292645,0.7123467495599517,0.7299630918272584,0.747579434094565,0.7651957763618716,0.7828121186291783,0.800428460896485,0.8180448031637917,0.8356611454310983,0.853277487698405,0.8708938299657116,0.8592902750567533,0.8476867201477948,0.8360831652388364,0.824479610329878,0.8128760554209196,0.8012725005119612,0.7896689456030028,0.7780653906940445,0.766461835785086,0.7548582808761276,0.766461835785086,0.7780653906940445,0.7896689456030028,0.8012725005119612,0.8128760554209196,0.824479610329878,0.8360831652388364,0.8476867201477949,0.8592902750567533,0.8708938299657116,0.853277487698405,0.8356611454310983,0.8180448031637917,0.800428460896485,0.7828121186291783,0.7651957763618716,0.747579434094565,0.7299630918272584,0.7123467495599517,0.694730407292645,0.694834869584186,0.6949393318757271,0.6950437941672681,0.6951482564588092,0.6952527187503501,0.6953571810418911,0.6954616433334322,0.6955661056249732,0.6956705679165143
24,0.8760659195022515,0.8928767933207495,0.9096876671392475,0.9264985409577456,0.9433094147762436,0.9601202885947416,0.9769311624132396,0.9937420362317376,1.0105529100502357,1.0273637838687337,1.0441746576872317,1.028263124623207,1.0123515915591823,0.9964400584951576,0.9805285254311329,0.9646169923671082,0.9487054593030834,0.9327939262390587,0.916882393175034,0.9009708601110092,0.8850593270469845,0.9009708601110092,0.916882393175034,0.9327939262390587,0.9487054593030834,0.9646169923671082,0.9805285254311329,0.9964400584951576,1.0123515915591823,1.028263124623207,1.0441746576872317,1.0273637838687337,1.0105529100502357,0.9937420362317376,0.9769311624132396,0.9601202885947416,0.9433094147762436,0.9264985409577456,0.9096876671392475,0.8928767933207495,0.8760659195022515,0.8759614572107105,0.8758569949191695,0.8757525326276284,0.8756480703360874,0.8755436080445465,0.8754391457530054,0.8753346834614644,0.8752302211699233,0.8751257588783823
25,1.0520940173485218,1.0670307630696092,1.0819675087906964,1.0969042545117835,1.111841000232871,1.1267777459539583,1.1417144916750455,1.1566512373961326,1.17158798311722,1.1865247288383074,1.2014614745593946,1.183227080936688,1.1649926873139813,1.1467582936912746,1.128523900068568,1.1102895064458616,1.0920551128231548,1.073820719200448,1.0555863255777416,1.037351931955035,1.0191175383323283,1.037351931955035,1.0555863255777416,1.073820719200448,1.0920551128231548,1.1102895064458616,1.128523900068568,1.1467582936912746,1.1649926873139813,1.183227080936688,1.2014614745593946,1.1865247288383074,1.17158798311722,1.1566512373961326,1.1417144916750455,1.1267777459539583,1.111841000232871,1.0969042545117835,1.0819675087906964,1.0670307630696092,1.0520940173485218,1.0517501029560783,1.0514061885636348,1.0510622741711912,1.0507183597787477,1.0503744453863042,1.0500305309938607,1.0496866166014172,1.0493427022089736,1.04899878781653
