turtle,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,0_9,1_0,1_1,1_2,1_3,1_4,1_5,1_6,1_7,1_8,1_9,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9,3_0,3_1,3_2,3_3,3_4,3_5,3_6,3_7,3_8,3_9,4_0,4_1,4_2,4_3,4_4,4_5,4_6,4_7,4_8,4_9,5_0,5_1,5_2,5_3,5_4,5_5,5_6,5_7,5_8,5_9
11,3.0,2.8653408484144993,2.8452985112124285,2.907584024661238,3.0199084250283814,3.1499827485813148,3.265518031587489,3.334225310314359,3.323815621029378,3.202,3.202,3.031364494365611,3.0619431907413994,3.2369719019647825,3.4996864408731776,3.7933226203040045,4.061116253094681,4.246303152082627,4.29211913010526,4.1418,4.1418,3.9270227080291695,3.800090812252078,3.7351800432016153,3.7064661314106733,3.6881248074121453,3.654331801738922,3.579262844923895,3.437093667499957,3.202,3.202,3.066329783634544,3.018789778848878,3.033741227671771,3.0855453721319916,3.148563454258312,3.197156716079503,3.2056863996243345,3.1485137469215765,3.0,3.0,2.9308926530473802,2.94297417600014,3.013047745119944,3.1179165366684582,3.234383726907349,3.3392524920982827,3.4093260085029247,3.421407452382942,3.3523,3.3523,3.0099242007143348,2.8884387619308214,2.925665460024382,3.0594260713699386,3.2275423723424166,3.367836139316738,3.418129148667827,3.316243176770606,3.0
12,3.0,2.8661559965995758,2.8627079600488123,2.953223047776471,3.1012684172113145,3.2704112257821056,3.4242186309176073,3.5262577900465812,3.5400958605977912,3.4293,3.4293,3.317828395824489,3.3419438099490053,3.4633916206923407,3.6439172063732883,3.8452659453106426,4.029183215823197,4.157414396229746,4.191704864849082,4.0938,4.0938,3.9503190034636737,3.8624654391612,3.8138612286212474,3.788128293372485,3.768888554943584,3.7397639348632152,3.6843763546600474,3.5863477358627525,3.4293,3.4293,3.2890596949577633,3.223986654397863,3.2117813690823938,3.2301443297734496,3.25677602723313,3.2693769522235288,3.245647595506743,3.1632884478448675,3.0,3.0,2.87304732580968,2.895157749468497,3.0237372536567353,3.2161918210546796,3.4299274343426163,3.6223500762008314,3.7508657293096097,3.772880376349237,3.6458,3.6458,3.3350643581342063,3.2073061135692735,3.209711390995214,3.2894663151020396,3.3937570105797694,3.469769602118415,3.4646902144079927,3.3257049721385155,3.0
13,3.0,2.864362720253017,2.8804290841380613,3.0061336672142964,3.1994110450408884,3.4181957931770026,3.6204224871818056,3.7640257026144623,3.8069400150341384,3.7071,3.7071,3.6606064519166464,3.674201178940764,3.7308575623685565,3.813548983496229,3.9052488236199885,3.9889304640360397,4.0475672860405885,4.0641326709298395,4.0216,4.0216,3.9574966843513675,3.916252741394255,3.891195461889888,3.8756521365994914,3.862950056284293,3.8464165117055185,3.819378793624394,3.775164192802146,3.7071,3.7071,3.5587620425790294,3.4717018694019983,3.42713306837375,3.406269227399129,3.3903239343829803,3.3605107772301483,3.2980433438454777,3.184135222133813,3.0,3.0,2.822959308496537,2.8538057429661334,3.033130133033801,3.3015233083245508,3.5995760984633973,3.8678793330753525,4.04702384178543,4.077600454218642,3.9002,3.9002,3.619556130105143,3.4868498237464394,3.4580315873733185,3.489051927435212,3.5358613503815524,3.55441036266177,3.5006494707252958,3.330529181021562,3.0
14,3.0,2.845731920268248,2.8791686321244807,3.0487201381927247,3.302796441097007,3.589807543461358,3.8581634479098046,4.056274157066374,4.132549673555097,4.0354,4.0354,3.992626163319828,3.9705406856591314,3.9632648004157716,3.964919740987611,3.969626740772513,3.97150703316834,3.964681851572955,3.943272429384221,3.9014,3.9014,3.8687182427694142,3.871939821952423,3.900774448313143,3.944931832615691,3.9941216856241875,4.0380537181027485,4.066437640815492,4.068983164526537,4.0354,4.0354,3.8672352372816645,3.753190314812912,3.6757624780161224,3.6174489723136762,3.560747043127959,3.48815393588135,3.3821668959962325,3.2252831688949883,3.0,3.0,2.7787054899534946,2.8173204498671316,3.041560471072499,3.3771411449011843,3.7497780626847774,4.0851868157548665,4.309082995443041,4.347182193080889,4.1252,4.1252,3.8739363393076203,3.948608276174438,4.252209756244503,4.687734725161867,5.158177128570584,5.566530912114703,5.815790021438277,5.808948402185359,5.449
15,3.3854,3.2589075697053036,3.2953778056708045,3.4504687541737074,3.6798384614912143,3.9391449739005324,4.184046337678866,4.370200599103418,4.453265804451394,4.3889,4.3889,4.367205991121186,4.357995336273812,4.357734051348086,4.3628881522342144,4.369923654822409,4.375306575002876,4.375502928665824,4.366978731701463,4.3462,4.3462,4.328349937708686,4.32767457476353,4.3392341657378655,4.358088965205026,4.37929922773835,4.3979252079111735,4.409027160296832,4.407665339468663,4.3889,4.3889,4.255707035054777,4.154315450279298,4.073420328987802,4.001716754494529,3.9278998101137237,3.8406645791596272,3.7287061449464796,3.580719590788523,3.3854,3.3854,3.196701711877913,3.2297597252194055,3.4212402036007856,3.7078093105983614,4.026133209788442,4.312878064747338,4.504710039051357,4.538295296276808,4.3503,4.3503,4.0857962830796986,3.9464164961265205,3.890800781681731,3.8775892822865927,3.8654221404823748,3.8129394988103407,3.6787814998117567,3.4215882860278874,3.0
16,4.0417,3.974227655714461,4.0074404638135555,4.114359681591605,4.26800656634293,4.441402375361855,4.607568365942702,4.739525795379793,4.810295920967452,4.7929,4.7929,4.7780556479883955,4.781136014214316,4.7970269238153005,4.820614201928894,4.84678367369264,4.870421164244081,4.886412498720759,4.889643502260217,4.875,4.875,4.854725496368039,4.84286541623123,4.8370084653855505,4.834743349626977,4.83365877475149,4.831343446555071,4.825386070833696,4.813375353383346,4.7929,4.7929,4.723981445287692,4.656670912439138,4.588720522946189,4.517882398300697,4.441908659994519,4.3585514295195065,4.265562828367513,4.160694978030393,4.0417,4.0417,3.936931378908731,3.954799602053108,4.060208136068108,4.218060447588708,4.393260003249889,4.550710269686629,4.655314713533909,4.671976801426706,4.5656,4.5656,4.340523362458239,4.204328420614969,4.124400277955074,4.068124037963435,4.002884804124936,3.8960676799244602,3.715057768846891,3.4272401743771095,3.0
17,4.5729,4.539622348419164,4.5727994818549975,4.654946002731631,4.768576513473203,4.896205616503855,5.020347914247722,5.123518009128943,5.188230503571656,5.197,5.197,5.1841226914925205,5.18538317555048,5.196704490795442,5.214009675848974,5.233221769332642,5.250263809868014,5.261058836076652,5.261529886580126,5.2476,5.2476,5.230199605875292,5.221369696159289,5.218699153094951,5.219776858925245,5.222191695893139,5.223532546241596,5.221388292213581,5.21334781605206,5.197,5.197,5.162964283808315,5.112958808429356,5.050044678344872,4.977282998036612,4.897734871986331,4.814461404675777,4.730523700586704,4.64898286420086,4.5729,4.5729,4.5244949749632575,4.53297728069566,4.582094551931034,4.655594423403205,4.737224529846002,4.810732505993252,4.859865986578784,4.868372606336424,4.82,4.82,4.640512266285161,4.511693930287533,4.409393697788234,4.309460274568382,4.187742366409097,4.020088679091496,3.7823479183967015,3.4503687901058293,3.0
18,5.0417,5.033014038599131,5.069565983126127,5.139858322142946,5.23239354421155,5.335674137893902,5.438202591751961,5.52848139434769,5.595013034243048,5.6263,5.6263,5.631544701575661,5.626212981299469,5.613057801939112,5.594832126262274,5.574288917036646,5.554181137029917,5.537261749009773,5.526283715743905,5.524,5.524,5.528732745161443,5.5365588271219135,5.5468633074145295,5.559031247572407,5.5724477091286735,5.586497753616444,5.600566442568843,5.614038837518987,5.6263,5.6263,5.617490943809075,5.576565244884136,5.511271482322114,5.4293582352199525,5.338574082674595,5.24666760378298,5.161387377642049,5.090481983348742,5.0417,5.0417,5.028406697818936,5.0310210100974935,5.045004432062852,5.065818458942192,5.088924585962696,5.109784308351547,5.123859121335927,5.126610520143017,5.1135,5.1135,4.994809796429147,4.880873129526655,4.757208862531533,4.609335858682785,4.422772981219424,4.183039093380455,3.8756530584048905,3.486133739531735,3.0
19,5.4896,5.503266978573535,5.541733789538632,5.599044518927928,5.669243252774071,5.746374077109703,5.8244810779674685,5.89760834138001,5.9597999533799735,6.0051,6.0051,6.023549913711505,6.0115993487838795,5.977577686260039,5.9298143071829035,5.876638592595392,5.826379923540427,5.7873676810609265,5.767931246199811,5.7764,5.7764,5.800554624856428,5.823156324426041,5.845005261644758,5.866901599448502,5.8896455007732005,5.914037128554775,5.940876645729151,5.970964215232252,6.0051,6.0051,6.015043393670779,5.982479175766764,5.918422625736234,5.833889023027471,5.7398936470887545,5.647451777368368,5.5675786933145925,5.51128967437571,5.4896,5.4896,5.489448658901545,5.489053038124542,5.488482853601292,5.4878078212641075,5.487097657045299,5.486422076877176,5.485850796692044,5.485453532422216,5.4853,5.4853,5.4872091492781845,5.497763346253386,5.512620875918505,5.527440023266444,5.537879073290105,5.539596310982388,5.528250021336197,5.499498489344433,5.449
20,5.9271,5.961718730842455,6.004494857571381,6.054261298883262,6.109850973474584,6.170096800041842,6.2338316972815235,6.299888583890117,6.367100378564113,6.4343,6.4343,6.454076676575699,6.437325680768712,6.394186371109934,6.334798106130264,6.269300244360603,6.207832144331847,6.160533164574895,6.137542663620646,6.149,6.149,6.180025237613919,6.209476711968315,6.238101189001488,6.2666454346517435,6.295856214857391,6.326480295556735,6.3592644426880796,6.394955422189733,6.4343,6.4343,6.466712241463322,6.440693857810843,6.3717757101258865,6.275488659491767,6.167363566991809,6.062931293709333,5.977722700727659,5.927268649130108,5.9271,5.9271,5.939859676471171,5.938685770578087,5.927582709426375,5.910554920121658,5.891606829769568,5.874742865475731,5.863967454345772,5.863285023485319,5.8767,5.8767,5.917085790232321,5.910665223746585,5.868079452087545,5.79996962679995,5.716976899428554,5.629742421518109,5.548907344613366,5.485112820259078,5.449
21,6.3958,6.452499881621482,6.495087148334668,6.528804123974142,6.558893132374492,6.590596497370308,6.629156542796178,6.679815592486692,6.747815970276436,6.8384,6.8384,6.877648039108434,6.877566690533146,6.849038401948399,6.802945621028456,6.75017079544758,6.701596372880033,6.668104801000078,6.66057852748198,6.6899,6.6899,6.729406657703204,6.749176680481402,6.755203627119968,6.753481056404272,6.750002527119692,6.7507615980516,6.761751827985372,6.78896677570638,6.8384,6.8384,6.898627376774317,6.885271924660086,6.818147160907526,6.717066602766867,6.601843767488335,6.492292172322156,6.408225334518556,6.369456771327762,6.3958,6.3958,6.442546485801264,6.435136560268495,6.389087038113758,6.319914734049126,6.243136462786669,6.1742690390384585,6.128829277516562,6.1223339929330525,6.1703,6.1703,6.215463287267385,6.187901671254897,6.105357139256213,5.9855716785650115,5.846287276474972,5.705245920279772,5.580189597273091,5.488860294748607,5.449
22,6.9271,7.004526548581526,7.034161295543192,7.030741930421672,7.009006142753651,6.983691622075818,6.969536057924851,6.981277139837437,7.033652557350258,7.1414,7.1414,7.2031815287507275,7.221206359988493,7.207669819328889,7.174767232387512,7.134693924779965,7.0996452221218425,7.081816450028741,7.093402934116263,7.1466,7.1466,7.199440412934491,7.210071067118035,7.190858481581863,7.15416917535721,7.112369667475314,7.0778264769674095,7.062906122864732,7.0799751241985165,7.1414,7.1414,7.234449225914487,7.247433422576829,7.202145423556632,7.120378062423497,7.023924172747035,6.934576588096849,6.874128142042544,6.8643716681537255,6.9271,6.9271,7.028734954187506,7.01122955541574,6.908656876528108,6.755089990368016,6.584601969778878,6.4312658876040985,6.329154816687087,6.312341829871251,6.4149,6.4149,6.526247020289585,6.515943272783514,6.4126959534108,6.2452122581004605,6.042199382781513,5.832364523382977,5.644414875833867,5.507057636063202,5.449
23,7.5833,7.706597590490068,7.7154419899394115,7.643720538384403,7.525320575861417,7.394129442406831,7.284034478057022,7.228923022848361,7.2626824168172295,7.4192,7.4192,7.4760103129151725,7.459799409182048,7.391099086218503,7.2904411414424235,7.178357372271699,7.0753795761242095,7.002039550417839,6.9788690925704735,7.0264,7.0264,7.100871922518686,7.149903385110282,7.181094497949866,7.2020453712125265,7.220356115073351,7.2436268397074235,7.279457655289832,7.335448671995662,7.4192,7.4192,7.5869727272156915,7.6508959071927904,7.63945441083187,7.581133109033499,7.504416872698255,7.43779057272671,7.4097390800194365,7.448747265477008,7.5833,7.5833,7.768646603726056,7.7362788924448225,7.548413484093534,7.267266996609428,6.955056047929746,6.673997255991724,6.4863072387326,6.454202614089612,6.6399,6.6399,6.871286642287666,6.9105416806413205,6.801766995549477,6.589064467500651,6.316535976983368,6.0282834044861415,5.7684086304974915,5.581013535505939,5.5102
24,8.0,8.142430033124795,8.144374920517448,8.04687388775217,7.890966160403175,7.71769096404468,7.5680875242509,7.48319506659605,7.504052816654346,7.6717,7.6717,7.792906195389533,7.768261347246116,7.638746191387372,7.445341463630926,7.229027899794399,7.03078623569542,6.8915972071516105,6.852441549980595,6.9543,6.9543,7.1053628395941635,7.198074946483506,7.249798949489766,7.277897477434682,7.299733159139995,7.332668623427444,7.394066499118768,7.501289415035707,7.6717,7.6717,7.86186433012206,7.943068033541126,7.945542105378731,7.8995175407564195,7.835225334795729,7.782896482618202,7.772761979345379,7.835052820098797,8.0,8.0,8.222399252715146,8.18348888865884,7.95791834746603,7.620337068771668,7.245394492210711,6.907740057418113,6.682023204028826,6.642893371677804,6.865,6.865,7.148047433140569,7.215458952895659,7.119390106689222,6.911996441945212,6.645433506087584,6.371856846540295,6.143422010727297,6.012284546072547,6.0306
25,8.0,8.101680939268968,8.111913421061455,8.057191683659989,7.9640099653471,7.858862504405323,7.768243539117194,7.71864730776524,7.736568048631998,7.8485,7.8485,8.02142816494794,7.9917896204731065,7.816652795797975,7.553086120145028,7.258158022736753,6.98893693279563,6.802491279544142,6.755889492204771,6.9062,6.9062,7.121140137424858,7.247745757492895,7.312063067204371,7.3401382735595435,7.358017583558675,7.3917472042020265,7.467373342489857,7.610942205422428,7.8485,7.8485,7.9708228978700575,8.016591375362331,8.007312016438364,7.9644914050596975,7.909636125187881,7.864252760784458,7.8498478958109725,7.887928114228972,8.0,8.0,8.177846632479026,8.146607236142014,7.966001779382604,7.695750230594441,7.395572558171176,7.125188730506453,6.944318715993919,6.912682483027218,7.09,7.09,7.43235017928547,7.532451098199946,7.451026825312316,7.248801429191464,6.986498978406283,6.724843541525656,6.524559187118476,6.446369983753628,6.551
26,8.0,8.083241168530083,8.098734110455252,8.065993892930342,8.004535583110185,7.933874248149621,7.873524955203484,7.843002771426612,7.861822763973838,7.9495,7.9495,8.118426580677932,8.092065682070372,7.925738852131792,7.674767638816679,7.3944735900795155,7.140178253874784,6.967203178156966,6.930869910880543,7.0865,7.0865,7.301320761273089,7.423618495368411,7.480303227606698,7.498284983308688,7.504473787795117,7.525779666386727,7.589112644404252,7.72138274716843,7.9495,7.9495,8.040640884860178,8.06874345628258,8.0516602299817,8.007243721672053,7.953346447068141,7.907820921884474,7.8885196618355575,7.913295182635896,8.0,8.0,8.128628712915205,8.106149335413578,7.975736067956655,7.780563111005969,7.563804665023064,7.368634930469478,7.238228107806745,7.215758397496407,7.3444,7.3444,7.7634254626925845,7.90227753284978,7.8330063648411175,7.627662113036128,7.358294931804349,7.096954975515313,6.915692398538553,6.886557355243604,7.0816
27,8.0,8.073932799091727,8.092090715169785,8.070455898194483,8.025010498126141,7.97173666492508,7.926616548551618,7.9056322989660694,7.924766066128758,8.0,8.0,8.134785577319581,8.11725992605829,7.990817498990356,7.798852748890002,7.584760128531462,7.391934090688963,7.263769088136733,7.243659573649003,7.375,7.375,7.549207367366085,7.643981254798795,7.682139983385111,7.686501874212023,7.6798852483665145,7.685108426935571,7.724989731006181,7.822347481665329,8.0,8.0,8.075233933871239,8.094367701033931,8.073383451448386,8.02826333507492,7.97498950187386,7.929544101805519,7.9079092848302155,7.926067200908269,8.0,8.0,8.070949045627003,8.058523067692162,7.986543011880991,7.878829823879004,7.7592044493717225,7.651487834044664,7.579500923583345,7.5670646636732855,7.638,7.638,8.145354139612932,8.32324547803505,8.25808441510389,8.03628135065698,7.744246684531863,7.468390816566069,7.295124146597138,7.310857074462603,7.602
28,8.0,8.065098666235208,8.081524470150281,8.063162352785785,8.023897255182291,7.977614118380381,7.938197883420623,7.919533491343591,7.935505883189858,8.0,8.0,8.071096636016888,8.07066410282088,8.019165261929981,7.93706297486219,7.844820103135513,7.762899508267953,7.711764051777511,7.711876595182192,7.7837,7.7837,7.870358795764306,7.910230186905615,7.916656047287604,7.902978250773951,7.882538671228344,7.868679182514464,7.874741658495992,7.914067973036609,8.0,8.0,8.064494116810138,8.08046650865641,8.06180211657938,8.022385881619618,7.976102744817708,7.936837647214217,7.91847552984972,7.934901333764789,8.0,8.0,8.004058242060607,8.003439443319673,7.99947990485231,7.993515927733641,7.9868838130387925,7.980919861842882,7.976960375221031,7.976341654248364,7.9804,7.9804,8.48523116996853,8.649854157320824,8.56621674830054,8.326266729151342,8.021951886116902,7.745220005440881,7.588018873366946,7.642296276138763,8.0
29,8.0,8.056558838110394,8.064836814337708,8.038563470167624,7.991468347085821,7.937280986577986,7.889730930129803,7.862547719226955,7.869460895355125,7.9242,7.9242,7.967107454945326,7.9839156861123515,7.982115228757155,7.96919661813582,7.95265038950443,7.939967078119071,7.938637219235823,7.9561513481107715,8.0,8.0,8.038649749282916,8.042230819172955,8.020729218177227,7.98413095480284,7.942422037556911,7.9055884749465495,7.88361627547887,7.8864914476609815,7.9242,7.9242,7.984138007251182,8.004984242364266,7.997972773573902,7.974337669114744,7.945312997221451,7.922132826128674,7.91603122407107,7.938242259283294,8.0,8.0,8.075356251460756,8.06236797039661,7.986280358090297,7.872338615824548,7.7457879448821,7.631873546545686,7.555840622098042,7.542934372821902,7.6184,7.6184,8.093329761655449,8.264474299620227,8.215684806727248,8.030812475809432,7.7937084996997,7.588224071230972,7.498210383236165,7.607518628548202,8.0
