turtle,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,0_9,1_0,1_1,1_2,1_3,1_4,1_5,1_6,1_7,1_8,1_9,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9,3_0,3_1,3_2,3_3,3_4,3_5,3_6,3_7,3_8,3_9,4_0,4_1,4_2,4_3,4_4,4_5,4_6,4_7,4_8,4_9,5_0,5_1,5_2,5_3,5_4,5_5,5_6,5_7,5_8,5_9
11,5.9271,5.966284802653212,6.013969706679829,6.069253915968877,6.13123663440939,6.1990170658903985,6.271694414300932,6.348367883530024,6.428136677466703,6.5101,6.5101,6.589091016417031,6.5872745535119686,6.529096445901979,6.439002528204229,6.341438635035891,6.26085060101413,6.221684260756115,6.2483854488790165,6.3654,6.3654,6.492339105304797,6.545638098640318,6.5449790286155025,6.510043943839283,6.4605148929206,6.416073924468394,6.396403087091599,6.421184429399156,6.5101,6.5101,6.552077039954423,6.524682596579717,6.446209289402774,6.334949737950481,6.2091965617497324,6.08724238032742,5.987379813210432,5.927901479925662,5.9271,5.9271,5.938905921577651,5.936840889590403,5.9248680115875105,5.906950395118228,5.887051147731816,5.86913337697753,5.857160190404627,5.855094695562365,5.8669,5.8669,5.900977593529312,5.851703860485147,5.734512722473236,5.564838101099307,5.358113917969094,5.129774094688324,4.895252552862733,4.669983214098047,4.4694
12,6.3958,6.460869591082088,6.509030541714129,6.546727908282585,6.580406747173918,6.616512114774595,6.661489067471078,6.721782661649831,6.803837953697316,6.9141,6.9141,6.995510822046506,6.993748106346493,6.933208876238723,6.8382901550619595,6.733388966154969,6.642902332856514,6.591227278505357,6.602760826440265,6.7019,6.7019,6.815593357373177,6.866132117928114,6.870927296773118,6.8473899090165,6.812930969766573,6.784961494131649,6.780892497220037,6.818134994140051,6.9141,6.9141,6.988813349457689,6.975598133960596,6.897962784380776,6.77941573159029,6.6434654064612,6.513620239865565,6.413388662675446,6.366279105762906,6.3958,6.3958,6.441200841964026,6.4330320791191005,6.386586547125295,6.317157081642679,6.240036518331328,6.170517692851313,6.123893440862704,6.115456598025576,6.1605,6.1605,6.247317637792317,6.224500662937327,6.115796543472793,5.944952747436477,5.735716742866147,5.511835997799571,5.297057980274509,5.115130158328731,4.9898
13,6.9375,7.033240009004389,7.072921322768633,7.074242190668993,7.054900862081719,7.032595586383079,7.025024612949328,7.049886191156725,7.1248785703815285,7.2677,7.2677,7.318340789892876,7.31795735793821,7.281264047915469,7.222975203604129,7.157805168783662,7.100468287233542,7.065678902733243,7.068151359062238,7.1226,7.1226,7.1870006299638245,7.21614441688267,7.219968749803497,7.208411017773265,7.191408609838945,7.178898915047494,7.180819322445878,7.207107221081058,7.2677,7.2677,7.387873967341376,7.402171147663576,7.339160572235858,7.227411272327483,7.0954922792077175,6.971972624145824,6.8854213384110645,6.864407453272702,6.9375,6.9375,7.039220137466361,7.021257015671088,6.917783445283479,6.762972236972844,6.59099620140849,6.436028149259723,6.332240891195847,6.313807237886171,6.4149,6.4149,6.55057281585433,6.55564572263494,6.460783498722365,6.296650922497136,6.093912772339794,5.883233826630875,5.695278863750911,5.560712662080441,5.5102
14,7.5833,7.728961559717613,7.748958000918261,7.681089207282323,7.563155062490184,7.4329554502222335,7.328290254158855,7.286959357980432,7.3467626453673525,7.5455,7.5455,7.607190769416522,7.643304333525185,7.661171197877583,7.668121868025312,7.671486849519981,7.678596647913183,7.69678176875652,7.733372717601592,7.7957,7.7957,7.840866788571244,7.8314676139595285,7.783070018753485,7.711241545541748,7.631549736912958,7.559562135455751,7.510846283758765,7.500969724410634,7.5455,7.5455,7.746829947225238,7.813581382760308,7.782309745841146,7.689570475703692,7.57191901158389,7.465910792717679,7.408101258341,7.435045847689793,7.5833,7.5833,7.767667606973963,7.735349669678205,7.548226796814439,7.2681795970843845,6.957088679189765,6.676834651832298,6.489298123713701,6.4563597035356945,6.6399,6.6399,6.882478027316233,6.905980519364078,6.764857678808012,6.513559708312502,6.20653681054203,5.898239188161068,5.643117043834093,5.495620580225578,5.5102
15,8.0,8.168883451316818,8.179873375142076,8.07953781823583,7.914444827358133,7.73116244926905,7.576258730728637,7.4963017184969525,7.537859459334053,7.7475,7.7475,7.794763172259734,7.822501645157976,7.836309711869438,7.841781665568836,7.844511799430888,7.850094406630315,7.8641237803418305,7.892194213740153,7.9399,7.9399,7.97440962713776,7.9671143540888965,7.929942630406724,7.874822905644557,7.813683629355719,7.758453251093526,7.721060220411296,7.7134329868623475,7.7475,7.7475,7.97445878483604,8.062429420049,8.049667195197289,7.974427399839317,7.874965323533499,7.789536255838247,7.75639548631197,7.813798304513083,8.0,8.0,8.223129051369911,8.184179640116065,7.958052518525676,7.619648438885955,7.243868153484125,6.905612414607397,6.6797819745429905,6.64127758557812,6.865,6.865,7.145285200097513,7.211341579250082,7.115017598804614,6.908161720108017,6.642622404507205,6.370248113349088,6.142887307980573,6.012388449748574,6.0306
16,8.0,8.145303271111295,8.169931592337303,8.109132210771696,7.998152373508148,7.872239327640339,7.766640320261943,7.716602598466638,7.757373409348098,7.9242,7.9242,7.975721181480513,7.966861901019538,7.914875801433365,7.837016525538297,7.750537716150634,7.672693016086673,7.620736068162714,7.611920515195057,7.6635,7.6635,7.732960143241156,7.772064754882554,7.7894847616911065,7.79389109043373,7.793954667877342,7.798346420788858,7.815737275935195,7.854798160083271,7.9242,7.9242,8.09622549325821,8.150929363124584,8.121063383441761,8.03937932805239,7.938628970799123,7.851564085524602,7.8109364460714765,7.849497826282393,8.0,8.0,8.179275751447099,8.147680815128634,7.965430226717656,7.692739021887215,7.389822236310369,7.116894905660171,6.934172065609675,6.901868751831933,7.0802,7.0802,7.415624816722054,7.513311700372661,7.432909963333649,7.234068917986844,6.976437876714078,6.719666151897181,6.523403055917983,6.447297901158313,6.551
17,8.0,8.13371883248526,8.164599903418743,8.122389521413504,8.036833995082596,7.937679633039077,7.854672743896003,7.817559636266428,7.856086618763408,8.0,8.0,8.10341079913354,8.085229625446072,7.980192357858474,7.823034875291637,7.648493056666454,7.491302780903809,7.3861999269245935,7.367920373649693,7.4712,7.4712,7.610748487804352,7.689669483226298,7.725289811688785,7.7349362986147545,7.735935769427155,7.745615049548935,7.781300964403037,7.860320339412411,8.0,8.0,8.143913381236588,8.182440363733573,8.145327256103998,8.062320366960922,7.963166004917404,7.877610478586497,7.835400096581257,7.866281167514739,8.0,8.0,8.130548734228192,8.10773291300533,7.975371410000276,7.777283098881885,7.5572868533190185,7.359201546980536,7.226846053535301,7.204039246652167,7.3346,7.3346,7.747364162402791,7.884328560994918,7.816456458104458,7.614711116059492,7.350055797188105,7.093453763818379,6.915868278278399,6.888262602896244,7.0816
18,8.0,8.132223428145133,8.164624644952132,8.125817802264644,8.044417051926317,7.94903654578081,7.868290435671772,7.8307928734428565,7.865158010937715,8.0,8.0,8.133589547748796,8.110835384354607,7.976415696381813,7.775008670394796,7.551292492957953,7.3499453506356645,7.215645429992318,7.193070917592301,7.3269,7.3269,7.506895063203308,7.608045379335528,7.652869464179151,7.66388583351667,7.663613003130579,7.674569488803375,7.7192738063175454,7.82024447145559,8.0,8.0,8.134841989062284,8.169207126557144,8.13170956432823,8.05096345421919,7.955582948073682,7.874182197735358,7.8353753550478675,7.867776571854864,8.0,8.0,8.07308094023482,8.060359504160743,7.986351847551662,7.875574126181464,7.752542495824045,7.641773112253296,7.56778213124311,7.555085708567381,7.6282,7.6282,8.130245164743949,8.306861700408986,8.243416561330177,8.02527670184258,7.73780907628126,7.4663806389812795,7.2963583442777,7.313109146505586,7.602
19,8.0,8.117985402300265,8.144063678256144,8.104381112721152,8.025083990548808,7.9323185965926335,7.852231215706146,7.810968132742866,7.83467563255631,7.9495,7.9495,8.05461992974751,8.039600395686696,7.938828794595794,7.786692523253042,7.6175789784366845,7.465875556924961,7.365969655496111,7.352248670928377,7.4591,7.4591,7.5995864456697,7.676007573584822,7.706605924556523,7.7096240393959645,7.70330445891431,7.705889723922727,7.735622375232371,7.810744953654408,7.9495,7.9495,8.067788016277706,8.100778094966326,8.07295396947904,8.00879937322904,7.932798039629518,7.869433702093664,7.843190094034666,7.878550948865715,8.0,8.0,8.000990939149975,8.001238676687583,8.000955555537761,8.000353918625459,7.999646108875631,7.999044469213224,7.998761342563183,7.999009071850459,8.0,8.0,8.386681385247968,8.319901892630167,7.929126511860112,7.343820232651333,6.693448044717356,6.107474937771709,5.715365901527916,5.646585925699504,6.0306
20,8.0,8.116976951699147,8.133792942632292,8.078736092112331,7.9800945194521695,7.866156343964712,7.765209684962864,7.705542661759526,7.715443393667603,7.8232,7.8232,7.888189782492683,7.889390282757529,7.845131335529871,7.773742775545038,7.69355443753837,7.622896156245199,7.580097766400856,7.583489102740679,7.6514,7.6514,7.731094162005547,7.76606464786526,7.768985325236285,7.752530061775759,7.729372725140833,7.71218718298865,7.713647302976353,7.746426952761089,7.8232,7.8232,7.943082806606744,7.985481755250077,7.972864389111212,7.927698251371365,7.872450885211754,7.829589833813596,7.821582640358106,7.8708968480265025,8.0,8.0,8.072493429329691,8.05966194584298,7.985880025699666,7.875522145059549,7.752962780082433,7.642576406928118,7.568737501756406,7.5558205407271,7.6282,7.6282,7.853726762097153,7.819128593662297,7.5989002166035,7.267536352828831,6.899531724246367,6.5693810527641805,6.351579060290343,6.320620468732924,6.551
21,8.0,8.115229930099037,8.116599057681317,8.036049281791023,7.905522501472348,7.756960615769486,7.622305523726629,7.533499124387967,7.522483316797694,7.6212,7.6212,7.700041277072102,7.744927298639776,7.765757084994811,7.772429656428996,7.77484403323413,7.782899235702005,7.806494284124413,7.855528198793146,7.9399,7.9399,8.002413090644437,7.9928656610059035,7.9316489124461445,7.839154046326912,7.735772264009963,7.641894766857044,7.5779127562299085,7.5642174334903105,7.6212,7.6212,7.745897478812729,7.804510203458397,7.816509291088188,7.801365858853285,7.778551023904883,7.767535903394165,7.78779161447232,7.858789274290535,8.0,8.0,8.129650239311015,8.106723116697975,7.974796404487866,7.777447875007672,7.558255300584383,7.3607964535449835,7.228649106216462,7.205391030925805,7.3346,7.3346,7.4898651226646,7.504188925215942,7.418327376940882,7.273036447126272,7.109072105058973,6.967190320025839,6.888147061313729,6.912698298209496,7.0816
22,8.0,8.1102653368001,8.092693830483583,7.98304308010994,7.817070684738661,7.630534243429239,7.45919135524117,7.338799619233946,7.305116634467058,7.3939,7.3939,7.476905528543365,7.529446412202738,7.560468811203511,7.5789188857710865,7.593742796130865,7.613886702508246,7.648296765128629,7.705919144217413,7.7957,7.7957,7.857922556742803,7.841688694404979,7.769172556751014,7.6625482875454045,7.543990030552645,7.435671929537232,7.3597681282636565,7.338452770496414,7.3939,7.3939,7.524254010251733,7.601980353331213,7.6428827188329045,7.662764796351282,7.67743027548082,7.702682845815987,7.754326196951259,7.848164018481105,8.0,8.0,8.177846632479026,8.146607236142014,7.966001779382604,7.695750230594441,7.395572558171176,7.125188730506453,6.944318715993919,6.912682483027218,7.09,7.09,7.321137023750253,7.410821643729606,7.401006875676152,7.3336457353279885,7.250691238423217,7.194096400699934,7.205814237896238,7.327797765750226,7.602
23,8.0,8.132505500410826,8.100244030192242,7.949111558855696,7.725004055912625,7.47381749087448,7.241447833252699,7.073791052558731,7.016743118304015,7.1162,7.1162,7.173646895565593,7.1860909761180265,7.166740328328532,7.128803038868337,7.085487194408676,7.0500008816207815,7.035552187175883,7.055349197745212,7.1226,7.1226,7.1894118447787925,7.208032449312459,7.191880599860703,7.15437508268323,7.108934684039757,7.068978190189988,7.047924387393633,7.059192061910401,7.1162,7.1162,7.2762741656465995,7.3816805523795415,7.449218833413969,7.495688681965028,7.537889771247868,7.592621774477639,7.676684364869486,7.806877215638556,8.0,8.0,8.222399252715146,8.18348888865884,7.95791834746603,7.620337068771668,7.245394492210711,6.907740057418113,6.682023204028826,6.642893371677804,6.865,6.865,7.174931760623193,7.3194263218305675,7.349690270924037,7.3169301952055115,7.2723526819769075,7.267164318540141,7.352571692197126,7.579781390249773,8.0
24,7.5833,7.6895651024073075,7.656746793583674,7.523296464989192,7.327665508083961,7.108305314328079,6.903667275181644,6.752202782104754,6.692363226557507,6.7626,6.7626,6.840527260864916,6.846973523126721,6.8033586749036,6.731102604313741,6.651625199475336,6.586346348506569,6.556685939525632,6.584063860650713,6.6899,6.6899,6.800722421928161,6.841463580364628,6.8311499477897275,6.788807996683787,6.733464199527137,6.6841450288001045,6.659876956983018,6.679686456556208,6.7626,6.7626,6.889126211028226,6.980142348210746,7.047080872966505,7.101374246714446,7.154454930873516,7.217755386862661,7.302708076100827,7.420745460006957,7.5833,7.5833,7.768646603726055,7.7362788924448225,7.548413484093534,7.267266996609428,6.955056047929746,6.673997255991724,6.4863072387326,6.454202614089612,6.6399,6.6399,6.904529761659457,7.044169557214934,7.100224992914141,7.114101675004798,7.1272052097346235,7.180941203351338,7.31671526210266,7.575932992236307,8.0
25,6.9271,6.973389832070776,6.9471829639703095,6.868423118526309,6.7570540185664845,6.633019386918555,6.516262946410228,6.426728419869219,6.384359530123238,6.4091,6.4091,6.481011882345812,6.483949999483799,6.439249453870736,6.368245347963402,6.292272784218581,6.23266686509305,6.2107626930435895,6.2478953705269795,6.3654,6.3654,6.4859018859887945,6.531067210934463,6.520792394166211,6.4749738550132445,6.4135080128047735,6.356291286870006,6.323220096538149,6.33419086113841,6.4091,6.4091,6.469368590590066,6.5222150643557475,6.570529646182366,6.617202560955246,6.6651240335597155,6.7171842888811,6.776273551804725,6.845282047215917,6.9271,6.9271,7.028734954187506,7.01122955541574,6.908656876528108,6.755089990368016,6.584601969778878,6.4312658876040985,6.329154816687087,6.312341829871251,6.4149,6.4149,6.638366026480041,6.773850819248028,6.853988070867214,6.9114114739008565,6.978754720912218,7.088651504464554,7.273735517121125,7.566640451445187,8.0
26,6.3958,6.4147812390847925,6.390918299101612,6.335888076415741,6.261367467392463,6.179033368397068,6.100562675794838,6.03763228595106,6.001919095231019,6.0051,6.0051,6.045350394269098,6.055369397283977,6.045371015434276,6.025569255109642,6.006178122699716,5.997411624594146,6.009483767182573,6.052608556854643,6.137,6.137,6.21234480391353,6.231224600444312,6.208195782813261,6.157814744241297,6.094637877949342,6.033221577158316,5.988122235089136,5.973896244962724,6.0051,6.0051,6.035077886936333,6.071180608424797,6.112222509390349,6.157017934757939,6.20438122945253,6.253126738399075,6.302068806522531,6.350021778747855,6.3958,6.3958,6.441881534665788,6.4338025806927055,6.387036278307027,6.317055767735031,6.239334189202996,6.169344682937197,6.1225603891639135,6.114454448109422,6.1605,6.1605,6.3368827914958725,6.464355993936287,6.566881513065688,6.668421254628525,6.7929371243692485,6.964391028032308,7.206744871362153,7.543960560103233,8.0
27,5.9271,5.929946788475398,5.906576196591633,5.86403708859455,5.809378328729998,5.749648781243831,5.691897310381898,5.6431727803900475,5.610524055514132,5.601,5.601,5.612889918048071,5.630051666881354,5.652042446848651,5.678419458298771,5.708739901580523,5.7425609770427135,5.779439885034153,5.8189338259036445,5.8606,5.8606,5.884460961476326,5.876236932524147,5.844031615549879,5.795948712959944,5.740091927160762,5.684564960558757,5.637471515560347,5.606915294571954,5.601,5.601,5.613842199629899,5.641135038539993,5.679191578506993,5.72432488130761,5.7728480087185625,5.821074022516563,5.865315984478326,5.901886956380567,5.9271,5.9271,5.9392681598166135,5.937273516542445,5.925165444855095,5.906993319432166,5.886806514951264,5.868654406089993,5.8565863675259555,5.854651773936757,5.8669,5.8669,5.981328227710223,6.0934656510208,6.217427923610243,6.367330699157069,6.557289631339795,6.801420373836933,7.113838580327004,7.50865990448852,8.0
28,5.4792,5.470021835393179,5.446551838136605,5.412538930335666,5.3717320340957455,5.327880071522235,5.284731964720517,5.24603663579598,5.215543006854013,5.197,5.197,5.19544517045351,5.214638506743515,5.2490319076295915,5.293077271871318,5.341226498228275,5.387931485460043,5.4276441323262,5.454816337586325,5.4639,5.4639,5.454677763922589,5.432790161226613,5.401475921947365,5.3639737761201465,5.323522453780261,5.283360684963003,5.246727199703674,5.216860728037573,5.197,5.197,5.19781227435312,5.219190799046269,5.255593961205411,5.301480147956505,5.351307746425515,5.399535143738408,5.440620727021145,5.469022883399687,5.4792,5.4792,5.479368216266321,5.47991496447622,5.480732612530101,5.481713528328376,5.482750079771454,5.483734634759745,5.4845595611936595,5.485117226973608,5.4853,5.4853,5.509737006871053,5.5904003170617855,5.725773502222812,5.914340134004756,6.15458378405824,6.444988024033885,6.784036425582311,7.170212560354143,7.602
29,5.0417,5.023213628916834,4.9997795199894695,4.972536910148141,4.9426250363230775,4.911183135444518,4.8793504444426965,4.8482662002478465,4.819069639790203,4.7929,4.7929,4.786399655808255,4.797697040446461,4.821839592722322,4.853874751443546,4.888849955417848,4.921812643452935,4.947810254356515,4.9618902269363,4.9591,4.9591,4.944910596108967,4.92844077445007,4.91020957876929,4.890736052812606,4.870539240326003,4.850138185055458,4.830051930746956,4.810799521146476,4.7929,4.7929,4.783794832089083,4.80033105626793,4.835456962964713,4.882120842607608,4.933270985624797,4.981855682444453,5.020823223494754,5.043121899203878,5.0417,5.0417,5.02821551285648,5.0314929599860925,5.046764850322868,5.069263692800842,5.094221996354053,5.116872269916539,5.132447022422333,5.136178762805476,5.1233,5.1233,5.063343588511646,5.106659738762334,5.238725777904317,5.445019033089856,5.711016831471213,6.0221965002006455,6.364035366430414,6.722010757312779,7.0816
